commodity,model,ds,yhat,yhat_lower,yhat_upper
Pulse Masoor (Washed),Prophet,2027-05-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-06-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-07-01,257.64,257.64,257.64
Pulse Masoor (Washed),XGBoost,2026-08-01,259.4133605957031,,
Pulse Masoor (Washed),XGBoost,2026-09-01,260.10528564453125,,
Pulse Masoor (Washed),XGBoost,2026-10-01,260.5911560058594,,
Pulse Masoor (Washed),XGBoost,2026-11-01,260.75579833984375,,
Pulse Masoor (Washed),XGBoost,2026-12-01,260.91094970703125,,
Pulse Masoor (Washed),XGBoost,2027-01-01,261.0261535644531,,
Pulse Masoor (Washed),XGBoost,2027-02-01,260.9524841308594,,
Pulse Masoor (Washed),XGBoost,2027-03-01,260.2357482910156,,
Pulse Masoor (Washed),XGBoost,2027-04-01,259.9966125488281,,
Pulse Masoor (Washed),XGBoost,2027-05-01,258.47955322265625,,
Pulse Masoor (Washed),XGBoost,2027-06-01,258.06182861328125,,
Pulse Masoor (Washed),XGBoost,2027-07-01,257.7876892089844,,
Pulse Mash (Washed),Prophet,2026-08-01,494.0969555817618,486.02857259531885,502.1750923744167
Pulse Mash (Washed),Prophet,2026-09-01,527.8753112492262,519.8107430992494,536.2892077457468
Pulse Mash (Washed),Prophet,2026-10-01,532.5253592346759,523.6485176738774,541.4351687113639
Pulse Mash (Washed),Prophet,2026-11-01,515.2022645961579,505.5108687623069,525.0306218242878
Pulse Mash (Washed),Prophet,2026-12-01,490.57990220610645,478.7396655239206,501.6588088301092
Pulse Mash (Washed),Prophet,2027-01-01,458.399236784113,445.18144020663857,471.63491824107564
Pulse Mash (Washed),Prophet,2027-02-01,493.9047787458068,478.2858643663986,508.85982756810625
Pulse Mash (Washed),Prophet,2027-03-01,532.4120011703053,514.2265949491934,549.3772841186349
Pulse Mash (Washed),Prophet,2027-04-01,543.0980777272434,523.0283014918848,563.1949550730625
Pulse Mash (Washed),Prophet,2027-05-01,528.9071717254237,504.54789752952007,551.7236890897401
Pulse Mash (Washed),Prophet,2027-06-01,518.2471298888416,490.12768067113984,542.6163453249127
Pulse Mash (Washed),Prophet,2027-07-01,499.3761674005947,469.06820406133755,527.3700762613929
Pulse Mash (Washed),XGBoost,2026-08-01,447.50982666015625,,
Pulse Mash (Washed),XGBoost,2026-09-01,447.9087829589844,,
Pulse Mash (Washed),XGBoost,2026-10-01,450.0687255859375,,
Pulse Mash (Washed),XGBoost,2026-11-01,444.7635803222656,,
Pulse Mash (Washed),XGBoost,2026-12-01,439.40203857421875,,
Pulse Mash (Washed),XGBoost,2027-01-01,430.3616943359375,,
Pulse Mash (Washed),XGBoost,2027-02-01,455.0457458496094,,
Pulse Mash (Washed),XGBoost,2027-03-01,459.84197998046875,,
Pulse Mash (Washed),XGBoost,2027-04-01,470.3562316894531,,
Pulse Mash (Washed),XGBoost,2027-05-01,460.1189880371094,,
Pulse Mash (Washed),XGBoost,2027-06-01,460.5538330078125,,
Pulse Mash (Washed),XGBoost,2027-07-01,454.705078125,,
